Gene_ID,Genes,AMP_log2FC,TET_log2FC,KAN_log2FC,CHL_log2FC,CPR_log2FC,DOX_log2FC,ERY_log2FC,FOX_log2FC,TRM_log2FC,NAL_log2FC,NIT_log2FC,TOB_log2FC,AMP_pvalue,TET_pvalue,KAN_pvalue,CHL_pvalue,CPR_pvalue,DOX_pvalue,ERY_pvalue,FOX_pvalue,TRM_pvalue,NAL_pvalue,NIT_pvalue,TOB_pvalue,AMP_qvalue,TET_qvalue,KAN_qvalue,CHL_qvalue,CPR_qvalue,DOX_qvalue,ERY_qvalue,FOX_qvalue,TRM_qvalue,NAL_qvalue,NIT_qvalue,TOB_qvalue
b2400,gltX,-0.409816626,0.270841478,0.126,-0.608,1.133,-0.103,0.458,-0.479,0.256,0.168,0.22,0.255,0.371034031,0.531263181,0.693975535,0.066991848,0.001574775,0.747585083,0.161023016,0.143463438,0.426499092,0.600330393,0.493586358,0.428282964,0.749012475,0.792263153,0.807009429,0.21784176,0.008057598,0.928349887,0.310906076,0.400393413,0.703952803,0.848458297,0.731386932,0.654143632
b3288,fmt,-0.870338632,0.05856267,-0.033,-0.241,-0.263,-0.065,0.158,-0.239,0.287,-0.312,-0.226,0.429,0.357955533,0.828376689,0.917792183,0.45373996,0.414141823,0.838952385,0.622074952,0.457449698,0.373514948,0.334090003,0.482001521,0.188070451,0.898738248,0.935732793,0.939207334,0.675178161,0.521071884,0.962256488,0.731712683,0.671469462,0.659017753,0.605265614,0.731386932,0.41381982
b2804,fucU,0.619052367,-0.447597228,-0.869,-1.075,-0.541,-0.007,-0.369,-0.393,0.868,0.138,0.311,-0.264,0.162032796,0.265062912,0.011455845,0.002461811,0.100575918,0.982530439,0.255214992,0.22647198,0.011538835,0.666619792,0.33561009,0.412395103,0.437203773,0.604759901,0.061700778,0.0215936,0.179516319,0.994746401,0.423311602,0.482825679,0.151920417,0.88594059,0.599024986,0.641091583
b3340,fusA,0.080441132,0.49862392,0.759,0.011,1.144,-0.445,-0.248,-0.028,0.202,-0.23,-0.932,0.217,0.847649016,0.273668667,0.024875871,0.97255127,0.001446137,0.172734899,0.440899186,0.930210961,0.529276443,0.474366656,0.007230564,0.499437902,0.969021469,0.61685761,0.09154139,0.977540386,0.007524813,0.552391811,0.595962283,0.964779612,0.784177733,0.728152817,0.046245481,0.70984924
b0098,secA,-0.417490494,-0.487902597,-0.07,0.471,-0.428,0.169,-1.418,-0.106,-0.121,-0.344,0.098,1.656,0.403416766,0.675552229,0.82676606,0.149959245,0.189063452,0.598176217,0.000168415,0.740511243,0.7055032,0.287941523,0.759425061,2.60E-05,0.792894849,0.883686126,0.875231656,0.383645735,0.285923545,0.86622688,0.00126106,0.864399055,0.86051346,0.561259289,0.883119295,0.000306757
b3019,parC,-0.463862881,0.004874114,0.44,-0.453,0.594,0.087,0.01,-0.393,0.361,0.207,-0.038,0.323,0.225214704,0.79384751,0.17741655,0.165449713,0.07306245,0.785681848,0.975045698,0.22647198,0.265374263,0.51922381,0.905394757,0.317681675,0.550396444,0.932606079,0.340111887,0.406344494,0.147566923,0.928349887,0.984667859,0.482825679,0.561861371,0.766354373,0.982177352,0.577090381
b0015,d0J,-0.852152384,-2.003625346,-1.06,-0.076,0.409,-0.412,-0.859,-0.244,-0.054,0.526,0.664,0.484,0.068473679,0.063502307,0.002761198,0.812201247,0.208722378,0.205517155,0.012311747,0.448209409,0.865903461,0.109809107,0.046921333,0.139521669,0.352339802,0.411663901,0.022307577,0.881080505,0.308066202,0.57677084,0.040073458,0.667962566,0.926245166,0.330503882,0.161852238,0.362965922
b3164,pnp,-0.39642891,0.003571819,0.037,0.369,-0.228,0.054,0.007,-0.186,-0.075,-0.275,-0.221,0.168,0.37544447,0.931806201,0.907872381,0.255214992,0.478175207,0.865903461,0.982530439,0.562140765,0.814624064,0.393489854,0.491644572,0.600330393,0.723284361,0.981797155,0.934708177,0.499050971,0.575685446,0.963160734,0.985741323,0.743426505,0.895298694,0.669470803,0.731386932,0.774375759
b4025,pgi,-0.201022489,-0.65207504,0.176,0.196,-1.757,0.191,-1.516,0.32,-0.446,-0.673,0.458,-0.112,0.7002335,0.162995713,0.583202794,0.541477597,1.19E-05,0.551758508,7.78E-05,0.322099878,0.171810488,0.044253618,0.161023016,0.726434095,0.914680854,0.498992983,0.736460808,0.729094834,0.000191788,0.845966739,0.000628551,0.574217895,0.471810831,0.16895226,0.35821787,0.85637545
b1718,infC,-0.274203297,0.179124357,-0.026,-0.536,0.431,0.084,0.073,0.309,-0.111,-0.284,-0.211,0.138,0.394452651,0.665992304,0.935183734,0.103577648,0.186096762,0.792889648,0.819475352,0.338664489,0.728773614,0.378444944,0.511257972,0.666619792,0.852004291,0.873180292,0.950666909,0.294429054,0.282830228,0.928349887,0.882733098,0.586912346,0.86051346,0.649064792,0.740359422,0.823159967
