Gene ID,Genes,WT1,WT2,AMP1,AMP2,TET1,TET2
gene:b2698,recX,35.155,34.337,58.615,20.301,30.975,39.69
gene:b2476,purC,295.207,11.673,32.84,15.725,46.584,237.45
gene:b0640,holA,598.735,94.616,859.389,317.54,1032.17,569.117
gene:b0723,sdhA,3.212,66.889,140.416,80.584,3.271,42.736
gene:b0423,thiI,18.152,12.786,24.495,35.655,23.417,51.58
gene:b1264,trpE,212.18,34.353,656.588,2612.1,159.425,217.494
gene:b3982,nusG,153.934,54.917,331.113,33.471,173.416,512.825
gene:b0637,rsfS,149.715,13.778,559.343,92.182,230.024,209.948
gene:b3417,malP,17.147,6.57,27.682,9.495,10.515,2.597
gene:b0884,infA,289.767,130.66,115.374,60.333,164.103,394.276
gene:b3992,thiF,34.657,26.891,47.64,23.282,22.871,94.187
gene:b3321,rpsJ,3435.54,53.379,5124.07,169.912,3895.65,12700.8
gene:b2498,upp,84.195,3.563,82.549,16.317,102.761,252.973
gene:b3704,rnpA,1458.76,18.153,846.022,35.878,348.151,1698.78
gene:b3608,gpsA,977.841,690.495,1868.16,295.591,1084.22,1304.49
gene:b3634,coaD,8.05,6.637,10.04,6.912,10.208,24.481
gene:b0188,tilS,7.755,11.251,13.374,7.16,7.516,14.414
gene:b2607,trmD,5927.53,577.85,9074.4,1078.73,11260.2,28300.2
gene:b2565,recO,12.506,8.577,14.298,7.391,10.423,34.598
gene:b0109,nadC,215.887,21.02,272.685,16.692,126.043,98.882
gene:b1613,manA,499.165,75.068,597.051,43.561,510.732,412.886
gene:b3237,argR,822.746,173.912,337.431,158.322,1058.46,869.946
gene:b0470,dnaX,34.889,6.072,103.468,26.81,109.456,104.539
gene:b2620,smpB,1566.03,263.434,985.897,126.669,1487.28,933.695
gene:b1912,pgsA,20.367,11.615,12.364,8.13,14.288,13.124
gene:b2143,cdd,14.402,44.95,69.403,19.155,92.806,44.692
gene:b3320,rplC,7873.51,95.199,16733.5,298.782,12123,36254.5
gene:b3981,secE,339.501,107.695,618.126,71.808,310.936,726.561
gene:b2608,rimM,2570.46,131.853,3438.33,318.527,3837.47,12850
gene:b0004,thrC,95.007,5.772,364.92,11.316,56.968,92.495
gene:b0183,rnhB,43.917,9.45,91.094,10.475,75.373,85.163
gene:b0632,dacA,343.195,16.015,1370.67,117.568,479.074,439.368
gene:b1099,holB,36.06,17.245,29.912,16.802,56.789,142.827
gene:b1236,galU,205.333,87.071,281.71,24.769,160.814,84.491
gene:b0639,nadD,201.24,49.801,267.814,167.693,240.456,156.882
gene:b2597,raiA,480.06,4930.62,3286.9,5621.19,3070.59,937.52
gene:b3317,rplB,1698.81,35.069,4759.09,84.516,3320.97,10499.7
gene:b4384,deoD,634.941,555.897,884.801,266.333,804.263,773.742
gene:b3870,glnA,832.311,35.606,2005.95,27.694,1462.28,460.607
gene:b3401,hslO,36.801,68.939,72.419,45.184,92.595,237.689
gene:b3259,prmA,20.187,9.387,22.751,10.932,16.949,30.888
gene:b3319,rplD,8644.94,109.918,21994.6,329.891,15126.8,40719.1
gene:b2594,rluD,23.726,15.789,20.76,8.247,21.932,25.259
gene:b1062,pyrC,2065.76,29.053,659.851,32.158,265.917,1048.2
gene:b4171,miaA,161.707,230.178,355.013,47.135,663.85,599.095
gene:b2500,purN,50.27,2.418,13.276,10.74,21.997,128.963
gene:b3210,arcB,98.981,68.498,123.545,23.627,153.316,73.805
gene:b3642,pyrE,4.103,2.796,5.441,14.067,2.687,9.505
gene:b3318,rplW,10408.9,166.537,27786.8,459.703,20235.7,53602
gene:b1263,trpD,43.392,12.867,149.344,287.491,28.873,44.32
gene:b3770,ilvE,388.12,40.12,2762.72,39.141,1543.36,1139.78
gene:b1238,tdk,46.296,5.37,17.725,3.7,15.778,22.862
gene:b3314,rpsC,3821.8,87.593,9182.36,209.052,8607.34,16796.3
gene:b3432,glgB,217.253,87.184,312.976,27.033,213.522,46.721
gene:b4161,rsgA,159.058,37.516,245.187,34.761,228.107,273.332
gene:b3315,rplV,4208.57,79.232,10563.9,252.323,7012.56,18163.4
gene:b3312,rpmC,15465.2,578.25,48600.1,1149.17,41688.5,92238.9
gene:b3146,rsmI,22.459,2.923,16.05,4.243,17.827,27.63
gene:b3636,rpmG,565.483,55.826,574.409,156.046,1194.84,1769.67
gene:b3231,rplM,10681.5,164.557,8633.8,459.704,6900.02,24887.8
gene:b3774,ilvC,373.899,29.004,813.201,27.896,1729.24,573.516
gene:b0172,frr,137.3,76.965,542.63,33.966,135.23,176.76
gene:b0882,clpA,203.667,327.019,295.964,146.815,394.262,268.974
gene:b3316,rpsS,3409.38,92.571,8155.9,229.136,5929.37,16101.4
gene:b1680,sufS,52.899,101.409,26.962,23.132,67.985,11.76
gene:b0413,nrdR,86.062,129.67,233.203,144.673,308.76,255.289
gene:b3313,rplP,4341.2,146.155,13603.5,274.221,11716.4,24541.2
gene:b3301,rplO,1930.04,665.857,3232.32,356.032,3618.32,6089.65
gene:b0677,nagA,41.848,30.734,76.191,16.086,29.212,26.52
gene:b0408,secD,94.845,12.089,219.986,51.254,148.264,171.481
gene:b3172,argG,353.563,24.434,249.975,9.624,481.723,265.578
gene:b0407,yajC,6268.05,464.656,13841.7,1904.37,8168.52,7570.89
gene:b4177,purA,532.441,95.312,500.466,74.27,177.163,263.7
gene:b4389,radA,10.653,4.457,35.971,7.658,16.068,23.375
gene:b0436,tig,484.544,17.514,1333.33,68.718,648.254,919.992
gene:b3771,ilvD,43.731,9.939,433.496,18.12,247.266,151.502
gene:b3730,glmU,406.874,127.586,860.309,41.369,399.886,270.21
gene:b2029,gnd,4619.68,772.345,2907.3,326.511,1817.96,1536.41
gene:b1647,ydhF,95.659,97.538,84.122,69.585,46.794,25.091
gene:b2716,ascB,1.599,4.394,7.17,10.439,3.102,3.302
gene:b1262,trpC,61.727,17.884,183.759,238.619,33.193,58
gene:b0437,clpP,289.513,193.073,1143.01,187.413,2641.61,2087.98
gene:b1713,pheT,112.167,59.25,291.62,24.031,168.019,207.968
gene:b0525,ppiB,1349.69,280.148,2245.9,1192.3,864.45,665.64
gene:b3640,dut,106.861,5.732,88.767,12.583,122.948,252.178
gene:b3067,rpoD,210.28,436.54,450.75,84.679,400.874,607.762
gene:b1430,tehB,648.333,105.185,323.628,44.688,259.046,147.411
gene:b2699,recA,68.523,80.243,95.202,16.77,99.778,131.946
gene:b2609,rpsP,2540.23,122.441,2359.31,298.774,2212.82,8413.11
gene:b3960,argH,36.498,3.885,62.401,6.43,63.521,65.848
gene:b1702,ppsA,24.289,108.116,90.931,36.056,19.724,250.497
gene:b0642,leuS,310.941,145.378,614.839,382.792,661.506,395.597
gene:b0243,proA,45.279,21.11,80.195,13.895,48.226,45.721
gene:b0406,tgt,394.935,28.442,1405.37,181.418,649.939,928.145
gene:b4147,efp,505.735,47.313,407.462,29.443,103.218,417.699
gene:b3066,dnaG,151.897,93.245,255.618,42.428,252.993,525.234
gene:b1658,purR,118.902,4.293,25.9,9.193,34.976,160.404
gene:b3386,rpe,379.48,74.956,282.237,37.84,569.525,632.279
gene:b3772,ilvA,16.58,4.174,121.031,6.057,82.298,108.608
gene:b0522,purK,23.022,0.896,5.853,34.732,3.594,48.522
gene:b3183,obgE,15.882,21.932,42.962,11.257,30.833,128.355
gene:b0416,nusB,191.59,103.769,558.699,138.809,553.021,420.846
gene:b0415,ribE,211.021,95.068,484.492,96.303,468.341,473.207
gene:b0659,ybeY,843.624,1537.48,1276.14,310.137,1309.22,1120.22
gene:b2316,accD,84.37,25.323,114.466,17.396,96.116,210.99
gene:b4005,purD,16.934,2.34,12.67,4,5.04,31.039
gene:b3703,rpmH,11866.2,119.317,4265.77,368.391,2089.3,8644.13
gene:b3829,metE,498.566,5.42,1790.53,10.234,164.507,746.153
gene:b2946,rsmE,62.885,24.157,53.062,20.143,399.428,277.412
gene:b3702,dnaA,139.105,88.909,153.807,32.985,159.744,245.16
gene:b3256,accC,65.143,18.269,77.391,6.774,34.658,134.11
gene:b3225,nanA,1.159,1.718,8.468,9.375,0.952,2.272
gene:b2914,rpiA,155.156,48.631,91.9,15.631,49.491,73.007
gene:b2827,thyA,162.372,17.313,107.807,12.321,162.512,167.917
gene:b1090,plsX,47.316,9.024,53.243,5.698,19.587,31.029
gene:b2892,recJ,12.14,11.984,58.886,9.242,25.008,35.144
gene:b3302,rpmD,7706.31,2730.36,16461.5,1446.08,17315.7,32277.5
gene:b0892,rarA,21.804,6.57,47.356,4.617,29.259,31.681
gene:b2296,ackA,2414.5,390.431,1923.93,336.76,3412.6,1207.27
gene:b0526,cysS,53.877,2.081,60.607,49.087,62.722,90.788
gene:b1876,argS,38.359,7.438,24.119,8.571,34.756,81.747
gene:b3984,rplA,842.848,196.681,1400.7,171.378,1290.1,5099.14
gene:b2103,thiD,69.25,23.569,21.763,33.496,14.616,57.743
gene:b0911,rpsA,887.254,171.395,1025.26,77.024,978.592,2606.88
gene:b3305,rplF,2776.4,1131.11,7278.46,490.776,5540.6,12267.3
gene:b2508,guaB,234.291,5.828,60.238,8.677,20.921,515.241
gene:b0171,pyrH,105.998,76.922,585.404,25.022,101.05,222.984
gene:b2312,purF,166.144,11.989,17.83,17.203,27.823,179.36
gene:b1866,aspS,169.714,35.133,200.485,48.269,201.485,221.981
gene:b3059,plsY,28.771,2.767,12.433,10.959,52.455,23.575
gene:b2517,rlmN,34.044,6.162,39.816,13.953,22.91,73.935
gene:b2779,eno,7808.62,348.34,1874.28,188.315,1425.65,885.066
gene:b3300,secY,1521.41,707.532,4198.26,317.51,4076.08,9020.85
gene:b4173,hflX,230.249,205.45,716.526,46.418,398.921,443.54
gene:b3724,phoU,6.937,8.013,30.91,9.903,21.536,16.462
gene:b0414,ribD,193.314,285.126,602.138,200.496,718.336,510.104
gene:b2803,fucK,14.648,29.159,15.379,10.179,28.381,19.515
gene:b3307,rpsN,5123.19,1705.82,11037.5,795.589,8553.22,19364.8
gene:b0023,rpsT,1375.94,18.891,1528.2,78.655,698.392,1471.63
gene:b3289,rsmB,114.392,42.594,65.33,19.086,149.381,179.654
gene:b3169,nusA,219.346,111.234,722.78,23.392,714.908,1352.22
gene:b3974,coaA,193.739,5.591,144.006,8.699,63.66,85.782
gene:b4006,purH,70.388,7.519,23.202,7.93,10.1,58.676
gene:b1651,gloA,170.813,23.168,87.381,9.873,75.315,54.338
gene:b2614,grpE,23.992,48.301,29.834,15.758,87.591,128.421
gene:b3700,recF,23.548,16.319,48.671,11.541,34.121,110.191
gene:b0759,galE,85.146,151.408,94.557,68.488,64.977,93.95
gene:b2733,mutS,21.884,2.96,27.829,6.221,28.381,36.027
gene:b1133,mnmA,143.639,21.839,74.685,21.067,97.401,365.71
